Date,XLF,XLE,XLK,XLV,XLI,XLY,XLP,XLU,GLD,TLT,VNQ
2023-06-15,31.947874069213867,36.45917892456055,85.4228286743164,125.22396850585938,100.75057983398438,81.13896942138672,68.2586669921875,30.338947296142578,181.91000366210938,90.9923324584961,74.38934326171875
2023-06-16,31.881418228149414,36.405155181884766,84.71842956542969,125.21449279785156,100.5884017944336,81.01722717285156,68.34102630615234,30.502107620239258,181.6300048828125,90.63895416259766,74.33618927001953
2023-06-20,31.64299774169922,35.59033966064453,84.14588928222656,125.07377624511719,99.84138488769531,81.62419128417969,67.82117462158203,30.144384384155273,179.75,91.26618957519531,73.45923614501953
2023-06-21,31.604846954345703,35.8719367980957,82.90080261230469,125.09278106689453,100.39685821533203,80.64347839355469,68.06082916259766,30.38652229309082,179.49000549316406,91.48704528808594,73.01634216308594
2023-06-22,31.35689353942871,35.39049530029297,83.5772705078125,125.94866943359375,99.66899108886719,81.6729736328125,68.4571762084961,30.15351676940918,177.7100067138672,90.38278198242188,71.97110748291016
2023-06-23,31.223377227783203,35.13614273071289,82.67041015625,125.5302505493164,98.91240692138672,80.72642517089844,68.00553131103516,29.710346221923828,178.1999969482422,91.28388977050781,70.97901153564453
2023-06-26,31.156620025634766,35.76747131347656,82.07730102539062,124.81700134277344,99.73604583740234,79.69202423095703,68.0976791381836,30.002748489379883,178.50999450683594,91.38105010986328,72.61774444580078
2023-06-27,31.40457534790039,35.84922409057617,83.69491577148438,124.53170776367188,100.93319702148438,81.40463256835938,68.30047607421875,30.011890411376953,177.69000244140625,91.14250946044922,73.51239013671875
2023-06-28,31.328279495239258,36.212581634521484,83.74393463134766,124.13227844238281,100.93319702148438,81.7266616821289,67.83960723876953,29.5687198638916,177.27999877929688,91.5312271118164,73.61868286132812
2023-06-29,31.871875762939453,36.63042449951172,83.89098358154297,124.9406509399414,101.91004943847656,81.81448364257812,67.77508544921875,29.5687198638916,177.08999633789062,89.87925720214844,74.4410400390625
2023-06-30,32.148441314697266,36.866607666015625,85.22430419921875,126.2244644165039,102.78155517578125,82.85375213623047,68.36500549316406,29.89767074584961,178.27000427246094,90.9393539428711,74.85309600830078
2023-07-03,32.32964324951172,36.952903747558594,85.04292297363281,125.1878662109375,102.80071258544922,83.85398864746094,68.89960479736328,30.121536254882812,178.47000122070312,90.4238052368164,75.58763885498047
2023-07-05,32.26288604736328,36.7485237121582,84.5184326171875,125.121337890625,102.2452392578125,83.88813781738281,68.77978515625,30.464189529418945,177.83999633789062,89.56455993652344,75.75785064697266
2023-07-06,31.98632049560547,35.921897888183594,84.29296112060547,124.12279510498047,101.47906494140625,82.53660583496094,68.60466003417969,30.0941219329834,177.30999755859375,88.29786682128906,75.17559051513672
2023-07-07,32.034000396728516,36.69401550292969,83.92530059814453,122.67727661132812,101.70890808105469,82.63906860351562,67.7105712890625,29.87482452392578,178.63999938964844,87.76638793945312,75.00538635253906
2023-07-10,32.17706298828125,36.98015594482422,84.14588928222656,123.64729309082031,103.15507507324219,82.89279174804688,67.692138671875,29.746902465820312,178.77999877929688,87.88152313232422,75.327880859375
2023-07-11,32.55852127075195,37.79316329956055,84.3272476196289,123.67582702636719,104.37136840820312,83.58563232421875,67.79353332519531,30.116962432861328,179.4499969482422,88.33326721191406,76.40283966064453
2023-07-12,32.768333435058594,38.14288330078125,85.28311920166016,123.34295654296875,104.18939971923828,84.33702850341797,67.9502182006836,30.555561065673828,181.8800048828125,89.31653594970703,76.81490325927734
2023-07-13,32.882774353027344,37.9975471496582,86.3958511352539,123.39051055908203,104.32347106933594,85.12745666503906,68.23595428466797,30.660648345947266,182.00999450683594,90.25550079345703,77.30760192871094
2023-07-14,32.66342544555664,36.99378204345703,86.26840209960938,125.24493408203125,104.01701354980469,85.34703826904297,68.46639251708984,30.541858673095703,181.42999267578125,89.72402954101562,77.15531158447266
2023-07-17,32.978145599365234,36.921112060546875,87.37132263183594,124.67434692382812,104.40966033935547,85.69344329833984,68.26361083984375,30.190067291259766,181.55999755859375,89.76830291748047,76.65365600585938
2023-07-18,33.35008239746094,37.293548583984375,88.36150360107422,125.59681701660156,104.9938735961914,86.04476165771484,68.18988037109375,29.957059860229492,183.63999938964844,90.17578887939453,76.23263549804688
2023-07-19,33.49312210083008,37.511558532714844,88.14093780517578,126.17689514160156,104.94599914550781,86.34725952148438,68.88117218017578,30.263166427612305,183.6699981689453,91.19445037841797,77.09259033203125
